Question,Answer,Generated_Cypher
What is the cwe of the cve with description 'IBM Security Verify Access Docker 10.0.0 could allow a remote attacker to obtain sensitive information when a detailed technical error message is returned in the browser. This information could be used in further attacks against the system. IBM X-Force ID: 198660'?,CWE-209,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm security verify access docker"")\n         AND toLower(cve.description) CONTAINS toLower(""technical error message"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive information"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm security verify access docker"")\n         AND toLower(cve.description) CONTAINS toLower(""technical error message"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive information"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm x-force id"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm security verify access docker"")\n         AND toLower(cve.description) CONTAINS toLower(""technical error message"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive information"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm x-force id"")\n         AND toLower(cve.description) CONTAINS toLower(""further attacks"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm security verify access docker"")\n         AND toLower(cve.description) CONTAINS toLower(""technical error message"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive information"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm x-force id"")\n         AND toLower(cve.description) CONTAINS toLower(""further attacks"")\n         AND toLower(cve.description) CONTAINS toLower(""system"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm security verify access docker"")\n         AND toLower(cve.description) CONTAINS toLower(""technical error message"")\n         AND toLower(cve.description) CONTAINS']"
"What is the cwe of the cve with description 'An issue was discovered in the Mentor dashboard in the GrowthExperiments extension in MediaWiki through 1.36.2. The Growthexperiments-mentor-dashboard-mentee-overview-add-filter-total-edits-headline, growthexperiments-mentor-dashboard-mentee-overview-add-filter-starred-headline, growthexperiments-mentor-dashboard-mentee-overview-info-text, growthexperiments-mentor-dashboard-mentee-overview-info-legend-headline, and growthexperiments-mentor-dashboard-mentee-overview-active-ago MediaWiki messages were not being properly sanitized and allowed for the injection and execution of HTML and JavaScript.'?",CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""an issue was discovered in the mentor dashboard"")\n         AND toLower(cve.description) CONTAINS toLower(""growthexperiments extension in mediawiki through 1.36.2"")\n         AND toLower(cve.description) CONTAINS toLower(""html and javascript"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""an issue was discovered in the mentor dashboard in the growthexperiments extension in mediawiki through 1.36.2"")\n         AND toLower(cve.description) CONTAINS toLower(""html and javascript"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""growthexperiments extension in mediawiki through 1.36.2"")\n         AND toLower(cve.description) CONTAINS toLower(""html and javascript"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""an issue was discovered in the mentor dashboard in the growthexperiments extension in mediawiki through 1.36.2"")\n         AND toLower(cve.description) CONTAINS toLower(""html and javascript"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""growthexperiments extension in mediawiki through 1.36.2"")\n         AND toLower(cve.description) CONTAINS toLower(""html and javascript"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""an issue was discovered in the mentor dashboard in the growthexperiments extension in mediawiki through 1.36.2"")\n         AND toLower(cve.description) CONTAINS toLower(""html and javascript"")\n         OPTIONAL MATCH (cve)-']"
"What is the cwe of the cve with description 'An issue was discovered in function latm_write_packet in libavformat/latmenc.c in Ffmpeg 4.2.1, allows attackers to cause a Denial of Service or other unspecified impacts due to a Null pointer dereference.'?",CWE-476,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""an issue was discovered in function latm_write_packet in libavformat/latmenc.c in ffmpeg 4.2.1"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service or other unspecified impacts due to a null pointer dereference"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""null pointer dereference"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""null pointer"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""denial of service"")\n         AND toLower(cve.description) CONTAINS toLower(""null pointer"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""null pointer"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""denial of service"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""denial of service"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""null pointer"")\n         RETURN cve']"
What is the cwe of the cve with description 'An issue in the administrator authentication panel of PTCL HG150-Ub v3.0 allows attackers to bypass authentication via modification of the cookie value and Response Path.'?,CWE-287,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""an issue in the administrator authentication panel of ptcl hg150-u b v3.0"")\n         AND toLower(cve.description) CONTAINS toLower(""bypass authentication via modification of the cookie value and response path"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""an issue in the administrator authentication panel of ptcl hg150-u b v3.0"")\n         AND toLower(cve.description) CONTAINS toLower(""bypass authentication via modification of the cookie value and response path"")\n         AND toLower(cve.description) CONTAINS toLower(""an"")\n         AND toLower(cve.description) CONTAINS toLower(""issue"")\n         AND toLower(cve.description) CONTAINS toLower(""in"")\n         AND toLower(cve.description) CONTAINS toLower(""the"")\n         AND toLower(cve.description) CONTAINS toLower(""administrator"")\n         AND toLower(cve.description) CONTAINS toLower(""authentication"")\n         AND toLower(cve.description) CONTAINS toLower(""panel"")\n         AND toLower(cve.description) CONTAINS toLower(""of"")\n         AND toLower(cve.description) CONTAINS toLower(""ptcl"")\n         AND toLower(cve.description) CONTAINS toLower(""hg150-u"")\n         AND toLower(cve.description) CONTAINS toLower(""b"")\n         AND toLower(cve.description) CONTAINS toLower(""v3.0"")\n         AND toLower(cve.description) CONTAINS toLower(""allows"")\n         AND toLower(cve.description) CONTAINS toLower(""attackers"")\n         AND toLower(cve.description) CONTAINS toLower(""to"")\n         AND toLower(cve.description) CONTAINS toLower(""bypass"")\n         AND toLower(cve.description) CONTAINS toLower(""authentication"")\n         AND toLower(cve.description) CONTAINS toLower(""via"")\n         AND toLower(cve.description) CONTAINS toLower(""modification"")\n         AND toLower(cve.description) CONTAINS toLower(""of"")\n         AND toLower(cve.description) CONTAINS toLower(""the"")\n         AND toLower(cve.description) CONTAINS toLower(""cookie"")\n         AND toLower(cve.description) CONTAINS toLower(""value"")\n         AND']"
What is the cwe of the cve with description 'A Server-Side Request Forgery (SSRF) vulnerability in the EPPUpdateService of Bitdefender Endpoint Security Tools allows an attacker to use the Endpoint Protection relay as a proxy for any remote host. This issue affects: Bitdefender Endpoint Security Tools versions prior to 6.6.27.390; versions prior to 7.1.2.33. Bitdefender Unified Endpoint for Linux versions prior to 6.2.21.160. Bitdefender GravityZone versions prior to 6.24.1-1.'?,CWE-918,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""server-side request forgery"")\n         AND toLower(cve.description) CONTAINS toLower(""bitdefender endpoint security tools"")\n         AND toLower(cve.description) CONTAINS toLower(""linux"")\n         AND toLower(cve.description) CONTAINS toLower(""gravityzone"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""server-side request forgery"")\n         AND toLower(cve.description) CONTAINS toLower(""bitdefender"")\n         AND toLower(cve.description) CONTAINS toLower(""endpoint security tools"")\n         AND toLower(cve.description) CONTAINS toLower(""linux"")\n         AND toLower(cve.description) CONTAINS toLower(""gravityzone"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""server-side request forgery"")\n         AND toLower(cve.description) CONTAINS toLower(""bitdefender endpoint security tools"")\n         AND toLower(cve.description) CONTAINS toLower(""linux"")\n         AND toLower(cve.description) CONTAINS toLower(""gravityzone"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""server-side request forgery"")\n         AND toLower(cve.description) CONTAINS toLower(""bitdefender endpoint security tools"")\n         AND toLower(cve.description) CONTAINS toLower(""linux"")\n         AND toLower(cve.description) CONTAINS toLower(""gravityzone"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""server-side request forgery"")\n         AND toLower(cve.description) CONTAINS toLower(""bitdefender endpoint security tools"")\n         AND toLower(cve.description) CONTAINS toLower(""linux"")\n         AND toLower(cve.description) CONTAINS toLower(""gravityzone"")\n         OPTIONAL MATCH (c']"
"What is the cwe of the cve with description 'The Accept Donations with PayPal WordPress plugin before 1.3.2 does not escape the Amount Menu Name field of created Buttons, which could allow a high privilege users to perform Cross-Site Scripting attacks even when the unfiltered_html capability is disallowed.'?",CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""accept donations with paypal"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""amount menu name field"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting attacks"")\n         AND toLower(cve.description) CONTAINS toLower(""unfiltered_html capability"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""accept donations with paypal"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""amount menu name field"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting attacks"")\n         AND toLower(cve.description) CONTAINS toLower(""unfiltered_html capability"")\n         AND toLower(cve.description) CONTAINS toLower(""high privilege users"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""accept donations with paypal"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""amount menu name field"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting attacks"")\n         AND toLower(cve.description) CONTAINS toLower(""unfiltered_html capability"")\n         AND toLower(cve.description) CONTAINS toLower(""disallowed"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""accept donations with paypal"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""amount menu name field"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting attacks"")\n         AND toLower(cve.description) CONTAINS toLower(""unfiltered_html capability"")\n         AND toLower(cve.description) CONTAINS toLower(""high privilege users"")']"
What is the cwe of the cve with description 'IBM InfoSphere Data Flow Designer Engine (IBM InfoSphere Information Server 11.7 ) component has improper validation of the REST API server certificate. IBM X-Force ID: 201301.'?,CWE-295,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere data flow designer engine"")\n         AND toLower(cve.description) CONTAINS toLower(""improper validation of the rest api server certificate"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere information server 11.7"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm x-force id: 201301"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere data flow designer engine"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm x-force id: 201301"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere information server 11.7"")\n         AND toLower(cve.description) CONTAINS toLower(""improper validation of the rest api server certificate"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm x-force id: 201301"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""improper validation of the rest api server certificate"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere data flow designer engine"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm']"
What is the cwe of the cve with description 'A denial-of-service (DoS) vulnerability was discovered in the web user interface of F-Secure Internet Gatekeeper. The vulnerability occurs because of an attacker can trigger assertion via malformed HTTP packet to web interface. An unauthenticated attacker could exploit this vulnerability by sending a large username parameter. A successful exploitation could lead to a denial-of-service of the product.'?,CWE-617,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""denial-of-service"")\n         AND toLower(cve.description) CONTAINS toLower(""f-secure internet gatekeeper"")\n         AND toLower(cve.description) CONTAINS toLower(""malformed http packet"")\n         AND toLower(cve.description) CONTAINS toLower(""large username parameter"")\n         AND toLower(cve.description) CONTAINS toLower(""denial-of-service of the product"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""denial-of-service"")\n         AND toLower(cve.description) CONTAINS toLower(""f-secure internet gatekeeper"")\n         AND toLower(cve.description) CONTAINS toLower(""malformed http packet"")\n         AND toLower(cve.description) CONTAINS toLower(""large username parameter"")\n         AND toLower(cve.description) CONTAINS toLower(""denial-of-service of the product"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""denial-of-service"")\n         AND toLower(cve.description) CONTAINS toLower(""f-secure internet gatekeeper"")\n         AND toLower(cve.description) CONTAINS toLower(""malformed http packet"")\n         AND toLower(cve.description) CONTAINS toLower(""large username parameter"")\n         AND toLower(cve.description) CONTAINS toLower(""denial-of-service of the product"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""denial-of-service"")\n         AND toLower(cve.description) CONTAINS toLower(""f-secure internet gatekeeper"")\n         AND toLower(cve.description) CONTAINS toLower(""malformed http packet"")\n         AND toLower(cve.description) CONTAINS toLower(""large username parameter"")\n         AND toLower(cve.description) CONTAINS toLower(""denial-of-service of the product"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w']"
What is the cwe of the cve with description 'IBM InfoSphere Information Server 11.7 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.'?,CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary javascript code"")\n         AND toLower(cve.description) CONTAINS toLower(""credentials disclosure"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary javascript code"")\n         AND toLower(cve.description) CONTAINS toLower(""credentials disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""trusted session"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary javascript code"")\n         AND toLower(cve.description) CONTAINS toLower(""credentials disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""trusted session"")\n         AND toLower(cve.description) CONTAINS toLower(""web ui"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ibm infosphere"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary javascript code"")\n         AND toLower(cve.description) CONTAINS toLower(""credentials disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""trusted session"")\n         AND toLower(cve.description) CONTAINS toLower(""web ui"")\n         AND toLower(cve.description) CONTAINS toLower(""credentials disclosure within a trusted session"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w']"
"What is the cwe of the cve with description 'Cross-site scripting (XSS) vulnerability in the Collne Welcart e-Commerce plugin before 1.8.3 for WordPress allows remote attackers to inject arbitrary web script or HTML via unspecified vectors, a different vulnerability than CVE-2016-4827.'?",CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""collne welcart e-commerce plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary web script or html"")\n         AND toLower(cve.description) CONTAINS toLower(""cve-2016-4827"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""collne welcart e-commerce plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary web script or html"")\n         AND toLower(cve.description) CONTAINS toLower(""cve-2016-4827"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting (xss)"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""collne welcart e-commerce plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary web script or html"")\n         AND toLower(cve.description) CONTAINS toLower(""cve-2016-4827"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting (xss)"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting (xss) vulnerability"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""collne welcart e-commerce plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress"")\n         AND to']"
"What is the cwe of the cve with description 'On version 16.x before 16.1.0, 15.1.x before 15.1.4, 14.1.x before 14.1.4.4, and all versions of 13.1.x, 12.1.x, and 11.6.x, a reflected cross-site scripting (XSS) vulnerability exists in the resource information page for authenticated users when a full webtop is configured on the BIG-IP APM system. Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated.'?",CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""version 16"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""authenticated users"")\n         AND toLower(cve.description) CONTAINS toLower(""big-ip apm system"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""authenticated users"")\n         AND toLower(cve.description) CONTAINS toLower(""big-ip apm system"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""authenticated users"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         RETURN cve', 'MATCH (cve:CVE)\n         RETURN cve\n        LIMIT 5', 'MATCH (cve:CVE)\n         RETURN cve\n        LIMIT 5', 'MATCH (cve:CVE)\n         RETURN cve', 'MATCH (cve:CVE)\n         RETURN cve', 'MATCH (cve:CVE)\n         RETURN cve', 'MATCH (cve:CVE)\n         RETURN cve', 'MATCH (cve:CVE)\n         RETURN cve', 'MATCH (cve:CVE)\n         RETURN cve']"
What is the cwe of the cve with description 'A XML External Entity (XXE) vulnerability was discovered in the modRestServiceRequest component in MODX CMS 2.7.3 which can lead to an information disclosure or denial of service (DOS).'?,CWE-611,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""xml external entity"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""xxe"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""dos"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""xxe vulnerability"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""dos"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""xxe"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""dos"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""xxe vulnerability"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""dos"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""xxe"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         AND toLower(cve.description) CONTAINS toLower(""dos"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""']"
